# run_id=ec1c665e-b586-4c4a-9a2a-57022eafd668
# config_label=Mac-local-MPS
# started_at=2026-06-04T12:35:03.309Z
# duration_ms=65020
# warmup_ms=5000
# protocol_version=1.0.0
# file_name=D# Fat (Original Mix).wav
# file_duration_ms=328593.7708333333
# chunk_size=2048
# sample_rate=48000
# chunks_sent=1524
# chunks_received=1524
# beats_real=25
# beats_synthetic=108
# lighting_frames=147
# device=cuda:NVIDIA GeForce RTX 2070 SUPER
# beat_tracker=beatnet
# skip_bart=skipbart
# note_server_skip_ingest_queue_ms=time to enqueue chunk (not inference)
# note_server_skip_drain_queue_ms=time to dequeue predictions (not inference)
# note_server_skip_inference_ms=OpenL3 embed + Skip-BART decode on worker thread
# note_server_stage_raw_t_ms=blank for backend samples (no client clock)
t_ms,metric,value
32262,server.dwell_ms,2.540
32731,beat.e2e_ms,6.000
32731,server.dwell_ms,2.309
33089,beat.e2e_ms,21.000
33090,server.dwell_ms,2.301
33486,beat.e2e_ms,33.000
33486,server.dwell_ms,28.716
33802,beat.e2e_ms,10.000
33802,server.dwell_ms,2.022
34183,beat.e2e_ms,7.000
34183,server.dwell_ms,2.585
34688,beat.e2e_ms,171.000
34688,server.dwell_ms,164.271
34865,beat.e2e_ms,6.000
34865,server.dwell_ms,2.238
35334,beat.e2e_ms,6.000
35334,server.dwell_ms,2.521
35633,beat.e2e_ms,6.000
35633,server.dwell_ms,2.008
36198,lighting.frame,83.000
36198,lighting.e2e_ms,187.000
36198,server.dwell_ms,173.684
36198,lighting.frame,84.000
36198,lighting.e2e_ms,187.000
36199,lighting.frame,85.000
36199,lighting.e2e_ms,188.000
36199,lighting.frame,86.000
36199,lighting.e2e_ms,188.000
36199,lighting.frame,87.000
36199,lighting.e2e_ms,188.000
36199,lighting.frame,88.000
36199,lighting.e2e_ms,188.000
36199,lighting.frame,89.000
36199,lighting.e2e_ms,188.000
36199,lighting.frame,90.000
36199,lighting.e2e_ms,188.000
36199,lighting.frame,91.000
36199,lighting.e2e_ms,188.000
36199,lighting.frame,92.000
36199,lighting.e2e_ms,188.000
36199,lighting.frame,93.000
36199,lighting.e2e_ms,188.000
36199,lighting.frame,94.000
36199,lighting.e2e_ms,188.000
36199,lighting.frame,95.000
36199,lighting.e2e_ms,188.000
36199,lighting.frame,96.000
36199,lighting.e2e_ms,188.000
36199,lighting.frame,97.000
36199,lighting.e2e_ms,188.000
36199,lighting.frame,98.000
36199,lighting.e2e_ms,188.000
36199,lighting.frame,99.000
36199,lighting.e2e_ms,188.000
36199,lighting.frame,100.000
36199,lighting.e2e_ms,188.000
36199,lighting.frame,101.000
36199,lighting.e2e_ms,188.000
36200,lighting.frame,102.000
36200,lighting.e2e_ms,189.000
36200,lighting.frame,103.000
36200,lighting.e2e_ms,189.000
36200,beat.e2e_ms,102.000
36200,server.dwell_ms,2.855
