# run_id=2aab6143-3cfb-49a6-8bbf-87e50c98fdac
# config_label=Windows-CUDA-LAN-run2
# started_at=2026-06-04T12:38:58.140Z
# duration_ms=65020
# warmup_ms=5000
# protocol_version=1.0.0
# file_name=D# Fat (Original Mix).wav
# file_duration_ms=328593.7708333333
# chunk_size=2048
# sample_rate=48000
# chunks_sent=1523
# chunks_received=1523
# beats_real=15
# beats_synthetic=134
# lighting_frames=147
# device=cuda:NVIDIA GeForce RTX 2070 SUPER
# beat_tracker=beatnet
# skip_bart=skipbart
# note_server_skip_ingest_queue_ms=time to enqueue chunk (not inference)
# note_server_skip_drain_queue_ms=time to dequeue predictions (not inference)
# note_server_skip_inference_ms=OpenL3 embed + Skip-BART decode on worker thread
# note_server_stage_raw_t_ms=blank for backend samples (no client clock)
t_ms,metric,value
49875,beat.e2e_ms,141.000
49875,server.dwell_ms,2.156
50169,network.rtt_ms,29.000
50210,beat.e2e_ms,6.000
50210,server.dwell_ms,1.996
50797,beat.e2e_ms,123.000
50797,server.dwell_ms,2.824
51336,beat.e2e_ms,194.000
51336,server.dwell_ms,4.011
52002,beat.e2e_ms,391.000
52002,server.dwell_ms,159.640
52480,beat.e2e_ms,399.000
52480,server.dwell_ms,2.347
52987,beat.e2e_ms,437.000
52987,server.dwell_ms,3.976
53424,beat.e2e_ms,404.000
53424,server.dwell_ms,8.247
53948,beat.e2e_ms,459.000
53948,server.dwell_ms,3.164
54530,beat.e2e_ms,444.000
54530,server.dwell_ms,2.588
54757,beat.e2e_ms,159.000
54758,server.dwell_ms,93.224
55146,network.rtt_ms,2.000
55393,beat.e2e_ms,153.000
55393,server.dwell_ms,145.073
55790,beat.e2e_ms,83.000
55790,server.dwell_ms,2.653
56183,beat.e2e_ms,6.000
56183,server.dwell_ms,2.190
56653,beat.e2e_ms,7.000
56653,server.dwell_ms,2.677
57121,beat.e2e_ms,6.000
57121,server.dwell_ms,2.497
57681,beat.e2e_ms,11.000
57681,server.dwell_ms,2.199
58189,beat.e2e_ms,7.000
58189,server.dwell_ms,2.792
58817,beat.e2e_ms,77.000
58817,server.dwell_ms,2.337
59329,beat.e2e_ms,38.000
59329,server.dwell_ms,31.359
59426,lighting.frame,126.000
59426,lighting.e2e_ms,7.000
59426,server.dwell_ms,2.913
59427,lighting.frame,127.000
59427,lighting.e2e_ms,8.000
59428,lighting.frame,128.000
59428,lighting.e2e_ms,9.000
59428,lighting.frame,129.000
59428,lighting.e2e_ms,9.000
59428,lighting.frame,130.000
59428,lighting.e2e_ms,9.000
59428,lighting.frame,131.000
59428,lighting.e2e_ms,9.000
59428,lighting.frame,132.000
59428,lighting.e2e_ms,9.000
59428,lighting.frame,133.000
59428,lighting.e2e_ms,9.000
59428,lighting.frame,134.000
59428,lighting.e2e_ms,9.000
59428,lighting.frame,135.000
59428,lighting.e2e_ms,9.000
59428,lighting.frame,136.000
59428,lighting.e2e_ms,9.000
59428,lighting.frame,137.000
59428,lighting.e2e_ms,9.000
59428,lighting.frame,138.000
59428,lighting.e2e_ms,9.000
59428,lighting.frame,139.000
59428,lighting.e2e_ms,9.000
59428,lighting.frame,140.000
59428,lighting.e2e_ms,9.000
59428,lighting.frame,141.000
59428,lighting.e2e_ms,9.000
59428,lighting.frame,142.000
59428,lighting.e2e_ms,9.000
59429,lighting.frame,143.000
59429,lighting.e2e_ms,10.000
59429,lighting.frame,144.000
59429,lighting.e2e_ms,10.000
59429,lighting.frame,145.000
59429,lighting.e2e_ms,10.000
59429,lighting.frame,146.000
59429,lighting.e2e_ms,10.000
59429,lighting.frame,147.000
59429,lighting.e2e_ms,10.000
60086,beat.e2e_ms,69.000
60086,server.dwell_ms,2.827
60146,network.rtt_ms,2.000
60610,beat.e2e_ms,209.000
60610,server.dwell_ms,2.421
61129,beat.e2e_ms,344.000
61129,server.dwell_ms,194.053
61393,beat.e2e_ms,224.000
61393,server.dwell_ms,11.530
61942,beat.e2e_ms,389.000
61942,server.dwell_ms,2.821
62502,beat.e2e_ms,565.000
62502,server.dwell_ms,5.085
63120,beat.e2e_ms,797.000
63120,server.dwell_ms,8.253
63678,beat.e2e_ms,973.000
63678,server.dwell_ms,179.660
63842,beat.e2e_ms,753.000
63842,server.dwell_ms,8.842
64428,beat.e2e_ms,1083.000
64428,server.dwell_ms,274.161
64540,beat.e2e_ms,808.000
64540,server.dwell_ms,2.831
64673,beat.e2e_ms,560.000
64673,server.dwell_ms,2.250
64824,beat.e2e_ms,327.000
64824,server.dwell_ms,2.231
64973,beat.e2e_ms,129.000
64973,server.dwell_ms,104.718
,server.beat.ingest_ms,5.063
,server.beat.ingest_ms,8.381
,server.beat.ingest_ms,5.634
,server.beat.ingest_ms,0.801
,server.beat.ingest_ms,0.982
,server.beat.ingest_ms,1.205
,server.beat.ingest_ms,1.761
,server.beat.ingest_ms,2.313
,server.beat.ingest_ms,1.695
,server.beat.ingest_ms,1.327
,server.beat.ingest_ms,0.833
,server.beat.ingest_ms,0.775
,server.beat.ingest_ms,0.762
,server.beat.ingest_ms,0.857
,server.beat.ingest_ms,2.402
,server.beat.ingest_ms,1.665
,server.beat.ingest_ms,1.229
,server.beat.ingest_ms,2.189
,server.beat.ingest_ms,1.585
,server.beat.ingest_ms,1.236
,server.beat.ingest_ms,2.829
,server.beat.ingest_ms,2.560
,server.beat.ingest_ms,3.203
,server.beat.ingest_ms,2.824
,server.beat.ingest_ms,1.360
,server.beat.ingest_ms,1.432
,server.beat.ingest_ms,1.375
,server.beat.ingest_ms,1.375
,server.beat.ingest_ms,1.344
,server.beat.ingest_ms,1.367
,server.beat.ingest_ms,1.228
,server.beat.ingest_ms,1.253
,server.beat.ingest_ms,1.489
,server.beat.ingest_ms,1.471
,server.beat.ingest_ms,1.253
,server.beat.ingest_ms,1.404
,server.beat.ingest_ms,1.357
,server.beat.ingest_ms,1.383
,server.beat.ingest_ms,1.354
,server.beat.ingest_ms,1.423
,server.beat.ingest_ms,7.737
,server.beat.ingest_ms,8.080
,server.beat.ingest_ms,5.557
,server.beat.ingest_ms,6.404
,server.beat.ingest_ms,2.152
,server.beat.ingest_ms,1.231
,server.beat.ingest_ms,1.163
,server.beat.ingest_ms,1.634
,server.beat.ingest_ms,1.377
,server.beat.ingest_ms,1.699
,server.beat.ingest_ms,1.456
,server.beat.ingest_ms,2.177
,server.beat.ingest_ms,1.368
,server.beat.ingest_ms,0.924
,server.beat.ingest_ms,1.524
,server.beat.ingest_ms,1.673
,server.beat.ingest_ms,0.839
,server.beat.ingest_ms,1.538
,server.beat.ingest_ms,1.197
,server.beat.ingest_ms,1.587
,server.beat.ingest_ms,1.634
,server.beat.ingest_ms,1.254
,server.beat.ingest_ms,1.264
,server.beat.ingest_ms,1.500
,server.beat.ingest_ms,1.549
,server.beat.ingest_ms,1.556
,server.beat.ingest_ms,1.433
,server.beat.ingest_ms,1.613
,server.beat.ingest_ms,1.613
,server.beat.ingest_ms,1.488
,server.beat.ingest_ms,1.628
,server.beat.ingest_ms,1.018
,server.beat.ingest_ms,1.486
,server.beat.ingest_ms,1.630
,server.beat.ingest_ms,1.574
,server.beat.ingest_ms,1.153
,server.beat.ingest_ms,1.051
,server.beat.ingest_ms,1.544
,server.beat.ingest_ms,1.611
,server.beat.ingest_ms,1.544
,server.beat.ingest_ms,1.286
,server.beat.ingest_ms,1.527
,server.beat.ingest_ms,1.567
,server.beat.ingest_ms,1.486
,server.beat.ingest_ms,1.601
,server.beat.ingest_ms,1.532
,server.beat.ingest_ms,1.170
,server.beat.ingest_ms,1.566
,server.beat.ingest_ms,1.467
,server.beat.ingest_ms,1.438
,server.beat.ingest_ms,1.518
,server.beat.ingest_ms,1.472
,server.beat.ingest_ms,1.386
,server.beat.ingest_ms,1.519
,server.beat.ingest_ms,1.580
,server.beat.ingest_ms,1.775
,server.beat.ingest_ms,1.422
,server.beat.ingest_ms,1.285
,server.beat.ingest_ms,1.925
,server.beat.ingest_ms,1.207
,server.beat.ingest_ms,1.466
,server.beat.ingest_ms,1.520
,server.beat.ingest_ms,1.160
,server.beat.ingest_ms,1.710
,server.beat.ingest_ms,1.510
,server.beat.ingest_ms,1.214
,server.beat.ingest_ms,1.394
,server.beat.ingest_ms,1.592
,server.beat.ingest_ms,1.553
,server.beat.ingest_ms,7.129
,server.beat.ingest_ms,1.788
,server.beat.ingest_ms,3.133
,server.beat.ingest_ms,3.420
,server.beat.ingest_ms,2.288
,server.beat.ingest_ms,4.837
,server.beat.ingest_ms,1.826
,server.beat.ingest_ms,1.009
,server.beat.ingest_ms,1.323
,server.beat.ingest_ms,1.271
,server.beat.ingest_ms,7.799
,server.beat.ingest_ms,1.216
,server.beat.ingest_ms,1.154
,server.beat.ingest_ms,1.159
,server.beat.ingest_ms,1.131
,server.beat.ingest_ms,1.127
,server.beat.ingest_ms,1.239
,server.beat.ingest_ms,2.286
,server.beat.ingest_ms,2.281
,server.beat.ingest_ms,1.388
,server.beat.ingest_ms,1.396
,server.beat.ingest_ms,2.568
,server.beat.ingest_ms,1.997
,server.beat.ingest_ms,1.500
,server.beat.ingest_ms,1.986
,server.beat.ingest_ms,1.961
,server.beat.ingest_ms,0.951
,server.beat.ingest_ms,0.833
,server.beat.ingest_ms,0.801
,server.beat.ingest_ms,0.791
,server.beat.ingest_ms,0.789
,server.beat.ingest_ms,1.149
,server.beat.ingest_ms,1.129
,server.beat.ingest_ms,1.000
,server.beat.ingest_ms,0.954
,server.beat.ingest_ms,1.341
,server.beat.ingest_ms,1.938
,server.beat.ingest_ms,2.092
,server.beat.ingest_ms,1.675
,server.beat.ingest_ms,1.546
,server.beat.ingest_ms,1.860
,server.beat.ingest_ms,1.556
,server.beat.ingest_ms,1.661
,server.beat.ingest_ms,1.201
,server.beat.ingest_ms,1.636
,server.beat.ingest_ms,1.122
,server.beat.ingest_ms,1.575
,server.beat.ingest_ms,1.437
,server.beat.ingest_ms,1.499
,server.beat.ingest_ms,1.628
,server.beat.ingest_ms,1.521
,server.beat.ingest_ms,1.582
,server.beat.ingest_ms,1.855
,server.beat.ingest_ms,1.596
,server.beat.ingest_ms,1.090
,server.beat.ingest_ms,1.709
,server.beat.ingest_ms,1.747
