# run_id=045aeef4-8786-4166-845f-7f82a576d92f
# config_label=Mac-local-MPS
# started_at=2026-06-04T12:24:28.812Z
# duration_ms=65026
# warmup_ms=5000
# protocol_version=1.0.0
# file_name=D# Fat (Original Mix).wav
# file_duration_ms=328593.7708333333
# chunk_size=2048
# sample_rate=48000
# chunks_sent=1523
# chunks_received=1523
# beats_real=16
# beats_synthetic=110
# lighting_frames=147
# device=mps
# beat_tracker=beatnet
# skip_bart=skipbart
# note_server_skip_ingest_queue_ms=time to enqueue chunk (not inference)
# note_server_skip_drain_queue_ms=time to dequeue predictions (not inference)
# note_server_skip_inference_ms=OpenL3 embed + Skip-BART decode on worker thread
# note_server_stage_raw_t_ms=blank for backend samples (no client clock)
t_ms,metric,value
27834,lighting.e2e_ms,18.000
27834,lighting.frame,64.000
27834,lighting.e2e_ms,18.000
27834,lighting.frame,65.000
27834,lighting.e2e_ms,18.000
27834,lighting.frame,66.000
27834,lighting.e2e_ms,18.000
27834,lighting.frame,67.000
27834,lighting.e2e_ms,18.000
27834,lighting.frame,68.000
27834,lighting.e2e_ms,18.000
27834,lighting.frame,69.000
27834,lighting.e2e_ms,18.000
27834,lighting.frame,70.000
27834,lighting.e2e_ms,18.000
27834,lighting.frame,71.000
27834,lighting.e2e_ms,18.000
27834,lighting.frame,72.000
27834,lighting.e2e_ms,18.000
27834,lighting.frame,73.000
27834,lighting.e2e_ms,18.000
27834,lighting.frame,74.000
27834,lighting.e2e_ms,18.000
27834,lighting.frame,75.000
27834,lighting.e2e_ms,18.000
27834,lighting.frame,76.000
27834,lighting.e2e_ms,18.000
27834,lighting.frame,77.000
27834,lighting.e2e_ms,18.000
27834,lighting.frame,78.000
27834,lighting.e2e_ms,18.000
27834,lighting.frame,79.000
27834,lighting.e2e_ms,18.000
27835,lighting.frame,80.000
27835,lighting.e2e_ms,19.000
27835,lighting.frame,81.000
27835,lighting.e2e_ms,19.000
27835,lighting.frame,82.000
27835,lighting.e2e_ms,19.000
28222,beat.e2e_ms,64.000
28222,server.dwell_ms,60.242
28622,beat.e2e_ms,38.000
28622,server.dwell_ms,35.432
29099,beat.e2e_ms,3.000
29099,server.dwell_ms,1.334
29472,beat.e2e_ms,34.000
29472,server.dwell_ms,31.170
30043,beat.e2e_ms,8.000
30043,server.dwell_ms,2.872
30432,beat.e2e_ms,13.000
30432,server.dwell_ms,2.460
30860,beat.e2e_ms,14.000
30860,server.dwell_ms,1.310
31122,network.rtt_ms,5.000
31320,beat.e2e_ms,5.000
31320,server.dwell_ms,1.397
31920,beat.e2e_ms,8.000
31920,server.dwell_ms,0.911
32387,beat.e2e_ms,5.000
32387,server.dwell_ms,2.790
32981,beat.e2e_ms,130.000
32981,server.dwell_ms,118.779
33354,beat.e2e_ms,34.000
33354,server.dwell_ms,1.358
33843,beat.e2e_ms,53.000
33843,server.dwell_ms,2.943
34268,beat.e2e_ms,9.000
34268,server.dwell_ms,1.479
34732,beat.e2e_ms,3.000
34732,server.dwell_ms,1.147
35221,beat.e2e_ms,23.000
35221,server.dwell_ms,21.214
35669,beat.e2e_ms,2.000
35669,server.dwell_ms,1.060
36121,network.rtt_ms,3.000
36139,beat.e2e_ms,3.000
36139,server.dwell_ms,0.998
36612,beat.e2e_ms,6.000
36612,server.dwell_ms,1.062
37080,beat.e2e_ms,4.000
37080,server.dwell_ms,1.047
37585,beat.e2e_ms,41.000
37585,server.dwell_ms,39.217
38018,beat.e2e_ms,4.000
38018,server.dwell_ms,0.725
38486,beat.e2e_ms,3.000
38486,server.dwell_ms,1.264
38958,beat.e2e_ms,5.000
38958,server.dwell_ms,1.259
39425,beat.e2e_ms,3.000
39425,server.dwell_ms,0.997
39732,lighting.frame,83.000
39732,lighting.e2e_ms,12.000
39732,server.dwell_ms,4.818
39736,lighting.frame,84.000
39736,lighting.e2e_ms,16.000
39736,lighting.frame,85.000
39736,lighting.e2e_ms,16.000
39736,lighting.frame,86.000
39736,lighting.e2e_ms,16.000
39737,lighting.frame,87.000
39737,lighting.e2e_ms,17.000
39737,lighting.frame,88.000
39737,lighting.e2e_ms,17.000
39737,lighting.frame,89.000
39737,lighting.e2e_ms,17.000
39743,lighting.frame,90.000
39743,lighting.e2e_ms,23.000
39743,lighting.frame,91.000
39743,lighting.e2e_ms,23.000
39743,lighting.frame,92.000
39743,lighting.e2e_ms,23.000
39743,lighting.frame,93.000
39743,lighting.e2e_ms,23.000
39743,lighting.frame,94.000
39743,lighting.e2e_ms,23.000
39743,lighting.frame,95.000
39743,lighting.e2e_ms,23.000
39743,lighting.frame,96.000
39743,lighting.e2e_ms,23.000
39743,lighting.frame,97.000
39743,lighting.e2e_ms,23.000
39743,lighting.frame,98.000
39743,lighting.e2e_ms,23.000
39743,lighting.frame,99.000
39743,lighting.e2e_ms,23.000
39744,lighting.frame,100.000
39744,lighting.e2e_ms,24.000
39744,lighting.frame,101.000
39744,lighting.e2e_ms,24.000
39744,lighting.frame,102.000
39744,lighting.e2e_ms,24.000
39744,lighting.frame,103.000
39744,lighting.e2e_ms,24.000
40016,beat.e2e_ms,125.000
40016,server.dwell_ms,121.872
40384,beat.e2e_ms,24.000
40384,server.dwell_ms,5.164
40847,beat.e2e_ms,17.000
40847,server.dwell_ms,3.021
41118,network.rtt_ms,1.000
41317,beat.e2e_ms,18.000
41317,server.dwell_ms,4.061
41774,beat.e2e_ms,3.000
41774,server.dwell_ms,1.339
42288,beat.e2e_ms,50.000
42288,server.dwell_ms,42.931
42719,beat.e2e_ms,55.000
42719,server.dwell_ms,48.556
43218,beat.e2e_ms,84.000
43218,server.dwell_ms,6.922
43664,beat.e2e_ms,18.000
43664,server.dwell_ms,1.407
44130,beat.e2e_ms,15.000
44130,server.dwell_ms,1.408
44646,beat.e2e_ms,61.000
44646,server.dwell_ms,59.448
45100,beat.e2e_ms,43.000
45100,server.dwell_ms,1.087
45532,beat.e2e_ms,9.000
45532,server.dwell_ms,3.038
45995,beat.e2e_ms,3.000
45995,server.dwell_ms,1.226
46118,network.rtt_ms,1.000
46467,beat.e2e_ms,5.000
46467,server.dwell_ms,0.950
46966,beat.e2e_ms,35.000
46966,server.dwell_ms,27.607
47405,beat.e2e_ms,3.000
47405,server.dwell_ms,0.963
47873,beat.e2e_ms,3.000
47873,server.dwell_ms,1.450
48342,beat.e2e_ms,3.000
48342,server.dwell_ms,1.225
48768,beat.e2e_ms,2.000
48769,server.dwell_ms,1.233
49244,beat.e2e_ms,9.000
49244,server.dwell_ms,1.544
49754,beat.e2e_ms,6.000
49754,server.dwell_ms,1.311
50221,beat.e2e_ms,4.000
50221,server.dwell_ms,1.153
50689,beat.e2e_ms,3.000
50689,server.dwell_ms,1.522
51118,network.rtt_ms,1.000
51161,beat.e2e_ms,3.000
51161,server.dwell_ms,1.377
51502,lighting.frame,104.000
51502,lighting.e2e_ms,91.000
51502,server.dwell_ms,80.188
51502,lighting.frame,105.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,106.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,107.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,108.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,109.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,110.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,111.000
51502,lighting.e2e_ms,91.000
51502,lighting.frame,112.000
