# run_id=d11eb36f-5e67-4620-b963-61fd38477cfe
# config_label=Mac-local-MPS
# started_at=2026-06-04T12:27:33.132Z
# duration_ms=65015
# warmup_ms=5000
# protocol_version=1.0.0
# file_name=D# Fat (Original Mix).wav
# file_duration_ms=328593.7708333333
# chunk_size=2048
# sample_rate=48000
# chunks_sent=1523
# chunks_received=1523
# beats_real=17
# beats_synthetic=121
# lighting_frames=147
# device=mps
# beat_tracker=beatnet
# skip_bart=skipbart
# note_server_skip_ingest_queue_ms=time to enqueue chunk (not inference)
# note_server_skip_drain_queue_ms=time to dequeue predictions (not inference)
# note_server_skip_inference_ms=OpenL3 embed + Skip-BART decode on worker thread
# note_server_stage_raw_t_ms=blank for backend samples (no client clock)
t_ms,metric,value
32294,beat.e2e_ms,3.000
32294,server.dwell_ms,0.944
32870,beat.e2e_ms,24.000
32870,server.dwell_ms,19.772
33318,beat.e2e_ms,3.000
33318,server.dwell_ms,0.775
33787,beat.e2e_ms,2.000
33787,server.dwell_ms,0.787
34260,beat.e2e_ms,6.000
34260,server.dwell_ms,0.917
34726,beat.e2e_ms,3.000
34726,server.dwell_ms,0.866
35063,network.rtt_ms,1.000
35229,beat.e2e_ms,32.000
35229,server.dwell_ms,30.155
35638,beat.e2e_ms,19.000
35638,server.dwell_ms,16.764
36134,beat.e2e_ms,3.000
36134,server.dwell_ms,1.012
36617,beat.e2e_ms,16.000
36617,server.dwell_ms,4.270
36617,lighting.frame,83.000
36617,lighting.e2e_ms,16.000
36618,lighting.frame,84.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,85.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,86.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,87.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,88.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,89.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,90.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,91.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,92.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,93.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,94.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,95.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,96.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,97.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,98.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,99.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,100.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,101.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,102.000
36618,lighting.e2e_ms,17.000
36618,lighting.frame,103.000
36618,lighting.e2e_ms,17.000
37084,beat.e2e_ms,14.000
37084,server.dwell_ms,4.403
37651,beat.e2e_ms,111.000
37651,server.dwell_ms,102.477
38047,beat.e2e_ms,38.000
38047,server.dwell_ms,2.609
38483,beat.e2e_ms,4.000
38483,server.dwell_ms,1.153
38994,beat.e2e_ms,4.000
38994,server.dwell_ms,1.808
39431,beat.e2e_ms,14.000
39431,server.dwell_ms,2.605
39935,beat.e2e_ms,6.000
39935,server.dwell_ms,2.452
40070,network.rtt_ms,6.000
40418,beat.e2e_ms,20.000
40418,server.dwell_ms,0.856
40875,beat.e2e_ms,2.000
40875,server.dwell_ms,0.776
41351,beat.e2e_ms,14.000
41351,server.dwell_ms,2.968
41770,beat.e2e_ms,7.000
41770,server.dwell_ms,4.265
42252,beat.e2e_ms,19.000
42253,server.dwell_ms,17.840
42706,beat.e2e_ms,4.000
42706,server.dwell_ms,1.654
43218,beat.e2e_ms,4.000
43218,server.dwell_ms,1.075
43643,beat.e2e_ms,2.000
43643,server.dwell_ms,0.901
44113,beat.e2e_ms,3.000
44113,server.dwell_ms,1.036
44598,beat.e2e_ms,19.000
44598,server.dwell_ms,12.661
45054,beat.e2e_ms,5.000
45054,server.dwell_ms,0.760
45066,network.rtt_ms,1.000
45528,beat.e2e_ms,10.000
45528,server.dwell_ms,0.858
45995,beat.e2e_ms,7.000
45995,server.dwell_ms,1.256
46459,beat.e2e_ms,2.000
46459,server.dwell_ms,0.986
46963,beat.e2e_ms,34.000
46964,server.dwell_ms,32.560
47398,beat.e2e_ms,3.000
47398,server.dwell_ms,1.215
47754,lighting.frame,104.000
47754,lighting.e2e_ms,17.000
47754,server.dwell_ms,4.491
47755,lighting.frame,105.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,106.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,107.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,108.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,109.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,110.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,111.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,112.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,113.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,114.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,115.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,116.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,117.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,118.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,119.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,120.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,121.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,122.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,123.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,124.000
47755,lighting.e2e_ms,18.000
47755,lighting.frame,125.000
47755,lighting.e2e_ms,18.000
47879,beat.e2e_ms,14.000
47879,server.dwell_ms,2.720
48341,beat.e2e_ms,7.000
48341,server.dwell_ms,1.645
48770,beat.e2e_ms,8.000
48770,server.dwell_ms,2.714
49242,beat.e2e_ms,12.000
49242,server.dwell_ms,2.547
49746,beat.e2e_ms,3.000
49746,server.dwell_ms,1.373
50077,network.rtt_ms,13.000
50216,beat.e2e_ms,5.000
50216,server.dwell_ms,2.658
50690,beat.e2e_ms,9.000
50690,server.dwell_ms,1.356
51157,beat.e2e_ms,3.000
51157,server.dwell_ms,1.246
51675,beat.e2e_ms,55.000
51675,server.dwell_ms,46.818
52166,beat.e2e_ms,34.000
52166,server.dwell_ms,2.232
52616,beat.e2e_ms,15.000
52616,server.dwell_ms,1.336
53089,beat.e2e_ms,19.000
53089,server.dwell_ms,4.600
53571,beat.e2e_ms,31.000
53571,server.dwell_ms,27.871
54054,beat.e2e_ms,2.000
54054,server.dwell_ms,1.243
54531,beat.e2e_ms,10.000
54531,server.dwell_ms,1.120
54908,beat.e2e_ms,3.000
54908,server.dwell_ms,1.441
55066,network.rtt_ms,2.000
55420,beat.e2e_ms,3.000
55420,server.dwell_ms,1.388
55980,beat.e2e_ms,8.000
55980,server.dwell_ms,1.134
56998,beat.e2e_ms,3.000
56998,server.dwell_ms,1.169
57946,beat.e2e_ms,12.000
57946,server.dwell_ms,1.243
58792,lighting.frame,126.000
58792,lighting.e2e_ms,3.000
58792,server.dwell_ms,1.308
58792,lighting.frame,127.000
58792,lighting.e2e_ms,3.000
58792,lighting.frame,128.000
58792,lighting.e2e_ms,3.000
58792,lighting.frame,129.000
58792,lighting.e2e_ms,3.000
58793,lighting.frame,130.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,131.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,132.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,133.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,134.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,135.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,136.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,137.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,138.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,139.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,140.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,141.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,142.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,143.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,144.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,145.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,146.000
58793,lighting.e2e_ms,4.000
58793,lighting.frame,147.000
58793,lighting.e2e_ms,4.000
58947,beat.e2e_ms,74.000
58947,server.dwell_ms,70.102
59821,beat.e2e_ms,8.000
59821,server.dwell_ms,1.844
60064,network.rtt_ms,1.000
61095,beat.e2e_ms,89.000
61095,server.dwell_ms,77.880
62144,beat.e2e_ms,71.000
62144,server.dwell_ms,66.031
62474,beat.e2e_ms,17.000
62474,server.dwell_ms,8.536
62898,beat.e2e_ms,14.000
62898,server.dwell_ms,3.521
63473,beat.e2e_ms,120.000
63473,server.dwell_ms,103.089
63808,beat.e2e_ms,28.000
63808,server.dwell_ms,26.182
64318,beat.e2e_ms,69.000
64318,server.dwell_ms,1.212
64723,beat.e2e_ms,4.000
64723,server.dwell_ms,1.375
,server.beat.ingest_ms,0.659
,server.beat.ingest_ms,0.543
,server.beat.ingest_ms,0.641
,server.beat.ingest_ms,0.678
,server.beat.ingest_ms,0.682
,server.beat.ingest_ms,0.580
,server.beat.ingest_ms,0.527
,server.beat.ingest_ms,0.547
,server.beat.ingest_ms,0.523
,server.beat.ingest_ms,0.873
,server.beat.ingest_ms,0.552
,server.beat.ingest_ms,0.561
,server.beat.ingest_ms,0.701
,server.beat.ingest_ms,0.591
,server.beat.ingest_ms,0.542
,server.beat.ingest_ms,0.585
,server.beat.ingest_ms,0.653
,server.beat.ingest_ms,0.684
,server.beat.ingest_ms,0.609
,server.beat.ingest_ms,0.657
,server.beat.ingest_ms,0.725
,server.beat.ingest_ms,0.736
,server.beat.ingest_ms,0.805
,server.beat.ingest_ms,1.684
,server.beat.ingest_ms,6.102
,server.beat.ingest_ms,0.656
,server.beat.ingest_ms,0.678
,server.beat.ingest_ms,2.494
,server.beat.ingest_ms,7.080
,server.beat.ingest_ms,2.217
,server.beat.ingest_ms,0.783
,server.beat.ingest_ms,0.681
,server.beat.ingest_ms,4.787
,server.beat.ingest_ms,5.396
,server.beat.ingest_ms,1.943
,server.beat.ingest_ms,0.794
,server.beat.ingest_ms,3.840
,server.beat.ingest_ms,4.477
,server.beat.ingest_ms,2.275
,server.beat.ingest_ms,4.568
,server.beat.ingest_ms,0.723
,server.beat.ingest_ms,0.834
,server.beat.ingest_ms,0.859
,server.beat.ingest_ms,1.914
,server.beat.ingest_ms,2.329
,server.beat.ingest_ms,0.679
,server.beat.ingest_ms,0.751
,server.beat.ingest_ms,4.626
,server.beat.ingest_ms,4.502
,server.beat.ingest_ms,3.406
,server.beat.ingest_ms,1.340
,server.beat.ingest_ms,2.484
,server.beat.ingest_ms,0.714
,server.beat.ingest_ms,0.639
,server.beat.ingest_ms,1.470
,server.beat.ingest_ms,1.918
,server.beat.ingest_ms,0.565
,server.beat.ingest_ms,1.376
,server.beat.ingest_ms,0.558
,server.beat.ingest_ms,0.630
,server.beat.ingest_ms,3.232
,server.beat.ingest_ms,1.622
,server.beat.ingest_ms,1.722
,server.beat.ingest_ms,2.524
,server.beat.ingest_ms,0.703
,server.beat.ingest_ms,1.776
,server.beat.ingest_ms,0.579
,server.beat.ingest_ms,3.017
,server.beat.ingest_ms,1.370
,server.beat.ingest_ms,2.127
,server.beat.ingest_ms,1.990
,server.beat.ingest_ms,0.477
,server.beat.ingest_ms,1.173
,server.beat.ingest_ms,0.634
,server.beat.ingest_ms,2.658
,server.beat.ingest_ms,1.340
,server.beat.ingest_ms,1.309
,server.beat.ingest_ms,0.617
,server.beat.ingest_ms,0.648
,server.beat.ingest_ms,1.706
,server.beat.ingest_ms,0.538
,server.beat.ingest_ms,0.634
,server.beat.ingest_ms,0.872
,server.beat.ingest_ms,0.855
,server.beat.ingest_ms,0.619
,server.beat.ingest_ms,0.688
,server.beat.ingest_ms,0.557
,server.beat.ingest_ms,0.623
,server.beat.ingest_ms,0.634
,server.beat.ingest_ms,0.866
,server.beat.ingest_ms,0.816
,server.beat.ingest_ms,0.599
,server.beat.ingest_ms,0.582
,server.beat.ingest_ms,0.597
,server.beat.ingest_ms,0.637
,server.beat.ingest_ms,1.012
,server.beat.ingest_ms,0.714
,server.beat.ingest_ms,0.553
,server.beat.ingest_ms,0.621
,server.beat.ingest_ms,0.793
,server.beat.ingest_ms,0.582
,server.beat.ingest_ms,0.631
,server.beat.ingest_ms,2.871
,server.beat.ingest_ms,0.682
,server.beat.ingest_ms,0.683
,server.beat.ingest_ms,0.556
,server.beat.ingest_ms,3.779
,server.beat.ingest_ms,2.091
,server.beat.ingest_ms,0.528
,server.beat.ingest_ms,0.538
,server.beat.ingest_ms,0.575
,server.beat.ingest_ms,0.684
,server.beat.ingest_ms,2.792
,server.beat.ingest_ms,0.647
,server.beat.ingest_ms,2.259
,server.beat.ingest_ms,0.635
,server.beat.ingest_ms,0.469
,server.beat.ingest_ms,0.497
,server.beat.ingest_ms,0.658
,server.beat.ingest_ms,0.655
,server.beat.ingest_ms,0.710
,server.beat.ingest_ms,2.097
,server.beat.ingest_ms,2.153
,server.beat.ingest_ms,0.678
,server.beat.ingest_ms,1.489
,server.beat.ingest_ms,1.733
,server.beat.ingest_ms,0.679
,server.beat.ingest_ms,0.664
,server.beat.ingest_ms,0.698
,server.beat.ingest_ms,0.882
,server.beat.ingest_ms,0.752
,server.beat.ingest_ms,0.510
,server.beat.ingest_ms,0.678
,server.beat.ingest_ms,0.584
,server.beat.ingest_ms,1.881
,server.beat.ingest_ms,0.646
,server.beat.ingest_ms,0.515
,server.beat.ingest_ms,1.636
,server.beat.ingest_ms,1.727
,server.beat.ingest_ms,1.905
,server.beat.ingest_ms,0.618
,server.beat.ingest_ms,2.896
,server.beat.ingest_ms,1.002
,server.beat.ingest_ms,0.700
,server.beat.ingest_ms,0.674
,server.beat.ingest_ms,1.125
,server.beat.ingest_ms,0.494
,server.beat.ingest_ms,0.628
,server.beat.ingest_ms,1.297
,server.beat.ingest_ms,9.286
,server.beat.ingest_ms,0.632
,server.beat.ingest_ms,0.442
,server.beat.ingest_ms,0.776
,server.beat.ingest_ms,0.577
,server.beat.ingest_ms,0.675
,server.beat.ingest_ms,0.531
,server.beat.ingest_ms,0.636
,server.beat.ingest_ms,0.576
,server.beat.ingest_ms,0.593
,server.beat.ingest_ms,0.902
,server.beat.ingest_ms,0.801
,server.beat.ingest_ms,0.549
,server.beat.ingest_ms,0.565
,server.beat.ingest_ms,0.846
,server.beat.ingest_ms,1.235
,server.beat.ingest_ms,0.959
,server.beat.ingest_ms,0.667
,server.beat.ingest_ms,0.612
,server.beat.ingest_ms,0.588
,server.beat.ingest_ms,0.938
,server.beat.ingest_ms,0.521
,server.beat.ingest_ms,0.562
,server.beat.ingest_ms,0.587
,server.beat.ingest_ms,0.662
,server.beat.ingest_ms,0.709
,server.beat.ingest_ms,0.800
,server.beat.ingest_ms,0.754
,server.beat.ingest_ms,0.646
,server.beat.ingest_ms,0.594
,server.beat.ingest_ms,0.619
,server.beat.ingest_ms,0.853
,server.beat.ingest_ms,0.754
,server.beat.ingest_ms,0.564
,server.beat.ingest_ms,0.598
,server.beat.ingest_ms,0.919
,server.beat.ingest_ms,0.552
,server.beat.ingest_ms,0.577
,server.beat.ingest_ms,0.693
,server.beat.ingest_ms,0.974
,server.beat.ingest_ms,0.647
,server.beat.ingest_ms,0.689
,server.beat.ingest_ms,0.710
,server.beat.ingest_ms,0.748
